Minisector,STR,RUS,Fastest
0,315.47499059938804,320.594918602698,RUS
1,322.95804224559697,329.05220159921834,RUS
2,321.2158942666041,330.5951317621531,RUS
3,197.5762342592996,190.29848819710244,STR
4,116.70135400577685,114.67387223258727,STR
5,261.5040610464747,264.5453748557908,RUS
6,295.95256252730377,300.64271400228574,RUS
7,301.26041662222224,307.79655800579707,RUS
8,277.6083312,274.026235654321,STR
9,142.25189312690148,138.09286321583738,STR
10,221.5120179610141,212.25819976541513,STR
11,210.49455086282978,207.01636854229693,STR
12,194.4060453006695,188.32605622882946,STR
13,266.23692746948853,268.3108275692368,RUS
14,297.44800708240166,305.92616778418176,RUS
15,302.4411458222222,322.83931144347827,RUS
16,264.70962374448436,252.39897798102945,STR
17,198.27664702759355,193.1819448012719,STR
18,265.7863773948718,265.5548143093657,STR
19,298.3390628444444,307.6131939555556,RUS
20,306.79652782222223,322.2561724153576,RUS
21,297.7578124,300.67118257777776,RUS
22,206.89917235555555,198.31028719218378,STR
23,260.0043209481482,263.53749929876545,RUS
24,298.2589637511078,302.36768279305255,RUS
