Minisector,ANT,TSU,Fastest
0,290.27443195967305,295.2670384952381,TSU
1,165.18404254627666,168.3475586588558,TSU
2,171.31991844000441,181.77508179098314,TSU
3,255.264927990325,255.8535857932919,TSU
4,287.5743527666612,286.18904177132106,ANT
5,252.7829704133609,259.02640602317257,TSU
6,224.0478802196788,232.50161218486662,TSU
7,152.7724371941061,149.80009920870907,ANT
8,233.973115642796,225.6285988332558,ANT
9,280.1627839806061,281.1016476888644,TSU
10,301.56203229678,301.28582984473303,ANT
11,312.55334161109437,312.0976503073291,ANT
12,318.16172443520924,315.80893646019047,ANT
13,314.85613867212277,315.8385805273183,TSU
14,125.30930925219728,125.6223850126068,TSU
15,120.68229769252497,119.9293927131974,ANT
16,102.49490455672179,105.24611470776574,TSU
17,231.7502761199093,234.94047564008775,TSU
18,283.7915552735462,282.51633806736754,ANT
19,305.24366194567904,302.2075235544619,ANT
20,316.7975649240485,312.06329851070706,ANT
21,320.2432858406295,312.293142,ANT
22,129.4181419841151,110.11401350349237,ANT
23,202.62680022332714,217.23755628968973,TSU
24,270.69359061244995,274.9989259761039,TSU
25,286.4812496,,ANT
