Minisector,VER,PIA,Fastest
0,275.56810115030146,281.4335195138087,PIA
1,143.45973793292805,142.34879750102286,VER
2,223.58888015075567,220.54709851799944,VER
3,281.5232665606455,281.8105910370025,PIA
4,306.57560476515846,312.2541581098044,PIA
5,298.6267479359569,302.3174077050865,PIA
6,155.39675422981853,149.8033751867376,VER
7,236.0252153436886,229.28666703005672,VER
8,108.17962872997018,107.14725296388188,VER
9,176.71752603886142,179.29825572927575,PIA
10,275.7756633441223,279.3464846014265,PIA
11,298.2418541244784,297.60829359220025,VER
12,213.8246643355455,203.01754316094818,VER
13,175.3640252404457,178.849694158647,PIA
14,279.10564770001054,281.90968397839737,PIA
15,306.5428686075607,311.40925860956924,PIA
16,319.290989690086,325.46481023610954,PIA
17,324.244718756815,333.0425574774245,PIA
18,327.63277774222223,334.14365071481035,PIA
19,321.8625460894788,327.75998021918036,PIA
20,178.47371358459927,176.89551889892454,VER
21,181.97923258552484,180.7537232845994,VER
22,278.5986068082347,281.301081074551,PIA
23,308.86440616699866,313.14730116860017,PIA
24,318.71971602194986,318.5851944182708,VER
