Minisector,LEC,HUL,Fastest
0,296.78359090423544,305.549846382399,HUL
1,305.5,322.51618420266664,HUL
2,309.2615351747368,332.1554896870799,HUL
3,292.4107121329064,309.95626845333334,HUL
4,173.34286279717105,160.9335234918927,LEC
5,212.45645479505933,204.1394876779221,LEC
6,241.44138905396827,234.66152955847167,LEC
7,270.5085524518095,268.859847825989,LEC
8,258.123404295439,243.96732797575757,LEC
9,158.9592603515958,155.39181742540882,LEC
10,224.45231298586683,221.52602532288387,LEC
11,126.49169973855248,123.96668053334952,LEC
12,228.65396862666668,234.68962596323246,HUL
13,176.9793002425449,177.8286846216322,HUL
14,216.2263045738528,217.81629553421845,HUL
15,244.90876841876047,240.91888621978126,LEC
16,268.86821124397574,269.97132533391056,HUL
17,291.9578870222222,301.6932950857143,HUL
18,152.20325549099493,146.69784485841268,LEC
19,163.09400428440512,167.66297455391077,HUL
20,140.1071126111191,135.38349690405022,LEC
21,229.0368913673096,235.8452431985489,HUL
22,263.6209359210486,264.68951337202685,HUL
23,252.5286937095626,251.2002677447934,LEC
24,278.3283217817134,284.3737209731211,HUL
25,289.8875008,,LEC
