Minisector,RAI,GRO,Fastest
0,316.1536488088963,307.7647937381812,RAI
1,229.54478973333335,233.24219515409473,GRO
2,133.16486501692708,137.65681878603087,GRO
3,224.87019132229406,221.40423463104005,RAI
4,271.35448168826525,265.91594745845003,RAI
5,297.25430536685116,288.6426266634629,RAI
6,310.4269133714286,302.806832109884,RAI
7,292.11842706832925,281.95859253333333,RAI
8,175.05851793205477,171.04949187094323,RAI
9,243.70805262003196,240.30632860104615,RAI
10,279.9550558674472,275.15400695864014,RAI
11,269.8272760839171,265.9667703983216,RAI
12,211.07512750909842,208.48437481212122,RAI
13,130.70656912631867,132.12067010214457,GRO
14,124.14011680287426,124.96586687745207,GRO
15,171.6185042734039,173.69986893199786,GRO
16,123.77218494098696,122.21186522153496,RAI
17,235.78003489427743,231.86794691047618,RAI
18,194.16122063646452,197.73076735888756,GRO
19,166.15619280827372,164.4848290541521,RAI
20,251.93510989986873,251.91300875410568,RAI
21,283.92731739301246,280.87132329411764,RAI
22,301.8127035363833,295.67558134317255,RAI
23,310.27055566222225,304.1388087914647,RAI
24,313.96517233911305,307.630774273537,RAI
25,315.8642861714286,309.0,RAI
