Minisector,NOR,HUL,Fastest
0,293.7219849658483,298.76208661333334,HUL
1,297.61201383269844,301.9378840647037,HUL
2,158.30731140691864,148.6111467927778,NOR
3,223.7675557584314,222.93643777601434,NOR
4,273.00879491947956,280.45586180190475,HUL
5,294.0117904175824,307.73229200000003,HUL
6,304.9210671902041,319.3014717501141,HUL
7,170.32775946615928,142.21417233713026,NOR
8,136.24132270727208,125.48057482821453,NOR
9,250.5347003071522,251.39518715959596,HUL
10,285.7466986773333,293.88110460340226,HUL
11,296.6103913677675,304.94914295529406,HUL
12,144.39063216414166,139.46454702246692,NOR
13,193.07327813175343,191.29431967338843,NOR
14,259.0652911117576,254.64230286997497,NOR
15,200.54196536507936,199.08541641997547,NOR
16,219.91191826123324,215.894589395671,NOR
17,215.16390340102564,204.81184540054122,NOR
18,249.5850516754838,239.13127369580246,NOR
19,279.99807043160496,275.0316421567251,NOR
20,296.62709414603177,290.1741381699346,NOR
21,269.48193639619046,251.87727472987658,NOR
22,220.7569754593524,217.85228017945536,NOR
23,200.16495824,201.49200499423492,HUL
24,264.7546632228572,262.22556769684206,NOR
25,,279.95760552653303,HUL
