Minisector,ALO,OCO,Fastest
0,319.57644961656314,319.8594200115942,OCO
1,329.29829541818185,330.42916673939396,OCO
2,328.28195738781335,329.2113636363636,OCO
3,198.1303401823634,202.47617620080962,OCO
4,116.26339049060226,115.3133778387523,ALO
5,262.18024820599646,262.37175841975306,OCO
6,299.19854621183634,299.99497405577495,OCO
7,313.50510814236077,315.0286232115942,OCO
8,285.4127362883989,278.5316602853628,ALO
9,138.09531700804976,138.97340383657794,OCO
10,218.74651612903116,215.5992642917376,ALO
11,204.25433023757193,207.08094322335552,OCO
12,193.718338006866,183.9605188785606,ALO
13,262.860647545679,262.7961673533637,ALO
14,302.3577037969968,302.7740149734116,OCO
15,317.40688408115943,319.6538043826087,OCO
16,260.29411085731795,264.08605854013643,OCO
17,196.04050000143755,196.51380234637404,OCO
18,265.43564310239327,264.1948494524965,ALO
19,302.4705450362611,305.91525181527476,OCO
20,318.4566390067282,322.6162878060606,OCO
21,304.83923573333334,310.03611226666663,OCO
22,204.56167383703703,198.2922749984974,ALO
23,259.13817220411215,260.3712956839506,OCO
24,299.6966662826667,301.1884196335162,OCO
