Minisector,RAI,HUL,Fastest
0,308.40479175111113,297.3313663469979,RAI
1,254.91654167869717,243.30748314224755,RAI
2,204.1495007066052,203.0883333688889,RAI
3,267.26547479307476,265.47927476892016,RAI
4,236.36312486587738,232.75862025255734,RAI
5,121.28774007956196,115.79790906032095,RAI
6,176.63992254920512,180.50551513725492,HUL
7,257.9741112663548,255.56435636877382,RAI
8,289.2022723393939,285.5791668848485,RAI
9,302.6401017078748,299.76854650715666,RAI
10,307.2693273261237,305.6453794247619,RAI
11,235.63422613665628,222.52709395447488,RAI
12,146.0290379088557,144.99152790985426,RAI
13,256.9600074355917,255.80131898192073,RAI
14,289.6422343757576,288.12757955192745,RAI
15,299.82062496,297.9036703740579,RAI
16,297.2168651174603,294.39827484671287,RAI
17,260.84457464250164,258.90675250581876,RAI
18,179.25059471238094,182.1428981300282,HUL
19,189.9864413784979,188.7745873940676,RAI
20,185.30455970142899,179.6126317671977,RAI
21,247.09666756266665,244.98796021327374,RAI
22,128.59535573270475,125.31791167178591,RAI
23,204.38453547618005,195.30288171059908,RAI
24,278.62426105295236,273.96892804802724,RAI
25,,289.1833344,HUL
