Minisector,ANT,NOR,Fastest
0,305.7710233904762,302.6634021155556,ANT
1,149.59390983526694,152.30962468520013,NOR
2,209.15069765946953,210.78760839360532,NOR
3,287.00770877128724,287.7075977098039,NOR
4,317.67803590965985,313.65775860888454,ANT
5,318.5442703666667,312.136332105094,ANT
6,176.95796220690883,173.64117682950993,ANT
7,120.15099152698937,121.41758465995508,NOR
8,253.14564792380952,254.7263230425987,NOR
9,298.2693878072122,297.40732849815726,ANT
10,297.7870795169565,299.7002403076923,NOR
11,133.58786584398385,138.279313117728,NOR
12,180.99582141522242,178.02904072746668,ANT
13,248.80830802575963,247.2246959880901,ANT
14,189.0205591303716,186.70258244742777,ANT
15,193.04662853986176,191.94560048605751,ANT
16,190.05023255024125,194.46949715956364,NOR
17,237.55670332179417,233.42989431632046,ANT
18,281.53064337814635,280.6813699299004,ANT
19,296.5244206469418,294.3728409090909,ANT
20,243.171009216,239.08043352079534,ANT
21,203.3892474005964,200.64890802485561,ANT
22,190.973556352,186.03967960930615,ANT
23,273.21603696919635,270.656271210501,ANT
24,307.01502716349376,300.3989523308378,ANT
