Minisector,PIA,ALB,Fastest
0,310.0209625242236,320.59366806522365,ALB
1,240.03435913982923,223.30286652231294,PIA
2,130.28995513843418,127.256586197595,PIA
3,231.03178681360546,218.06580576948147,PIA
4,193.14546252290194,183.30355045601726,PIA
5,250.12198812380953,237.3673564123075,PIA
6,233.88423646875128,218.83908304873268,PIA
7,258.81795003768985,258.05018956576646,PIA
8,295.57988856238734,294.4815627168254,PIA
9,198.54617597247537,181.94444938418243,PIA
10,204.51210004667408,209.3031394533204,ALB
11,276.0991234871593,277.2481228036637,ALB
12,218.37568466732785,203.053586805963,PIA
13,255.10585581230302,257.3629745523529,ALB
14,294.69386458882786,297.0724617066667,ALB
15,312.19211518499276,314.2437173264733,ALB
16,312.083682837458,308.6615351030303,PIA
17,205.32576793333465,201.34999370593252,PIA
18,263.4477814493531,266.4998941054856,ALB
19,299.3147245845749,304.29739362159717,ALB
20,313.3263911068783,325.3034494275325,ALB
21,312.7057183238095,329.10185380533335,ALB
22,147.52976872327685,142.5992847657631,PIA
23,234.9692699875329,241.2592062923382,ALB
24,289.12884749150413,298.4111475565806,ALB
