Minisector,NOR,PIA,Fastest
0,297.28733837627175,300.41137398382165,PIA
1,208.33898080235372,192.41733093576488,NOR
2,225.57044052249216,227.07681268244977,PIA
3,275.7038947614446,273.82440739347317,NOR
4,246.9546750818481,220.75164724496548,NOR
5,132.3168810970244,129.45285682207566,NOR
6,209.78813641446874,212.50100494497212,PIA
7,244.70309500283705,253.09406171368323,PIA
8,239.01352247412495,236.83242333768874,NOR
9,232.35749130676643,230.579364572456,NOR
10,274.4099970025198,274.63949385111624,PIA
11,289.2066307832125,289.52621877402424,PIA
12,293.46846754156434,294.7017717990147,PIA
13,295.3835993563407,297.31436143663285,PIA
14,295.5775414105806,296.9858079094853,PIA
15,249.21648277525335,243.6765255812306,NOR
16,239.5018793722142,236.1182183378232,NOR
17,277.8640346751868,274.47250595238097,NOR
18,289.3487023809524,285.8412012512359,NOR
19,157.7630143597912,154.69782443655228,NOR
20,212.1331632852725,214.08261299022348,PIA
21,174.3545405490031,151.25825175454116,NOR
22,146.5395428359409,149.0940657472614,PIA
23,245.47693788937752,246.99274011652867,PIA
24,284.28237131221374,285.4478341132625,PIA
