Minisector,PIA,LEC,Fastest
0,280.4419327417787,272.2932140136296,PIA
1,124.64506921535235,115.80289921456409,PIA
2,167.0414499046425,168.22906792137206,LEC
3,211.62049671736494,214.25447297982905,LEC
4,170.01615076405537,170.82852976688804,LEC
5,243.2307273709091,244.81016028604847,LEC
6,227.63135581875903,213.61339467012988,PIA
7,134.0354294105884,141.73788839270492,LEC
8,232.88516225871345,237.36960654175755,LEC
9,285.02199761608466,276.47494347904694,PIA
10,295.2578152251893,292.00112480451344,PIA
11,154.05072631266768,161.10189082347787,LEC
12,225.63490629775248,219.50298746978353,PIA
13,271.18502838812617,269.9462000452976,PIA
14,258.4838387737143,274.12440180245886,LEC
15,100.41898412597871,106.7495263115404,LEC
16,219.54855130590545,220.1103272355226,LEC
17,281.1316965561905,270.25059123383323,PIA
18,303.459851147619,291.8008626850629,PIA
19,319.7932158094515,305.58367186871794,PIA
20,325.46010042380954,310.7501979301064,PIA
21,280.2669423077694,302.11924224216915,LEC
22,152.6478985535719,160.26870480885253,LEC
23,240.86371588969425,227.4940509399601,PIA
24,289.1569993539589,275.9281186378413,PIA
25,299.8571428571429,289.6156232,PIA
