Minisector,NOR,VET,Fastest
0,284.7216871977143,286.920921064149,VET
1,294.0599069361879,297.36136360044895,VET
2,299.41651508175045,303.1212745254902,VET
3,299.65743062320985,303.5928618105263,VET
4,196.57055603309968,186.65672332095238,NOR
5,213.2310484107592,206.99047375582916,NOR
6,263.7776918780062,263.0526136910973,NOR
7,260.3186504486957,266.81975877943904,VET
8,192.22884179911355,187.3448515048495,NOR
9,144.83580779662344,149.68430175374624,VET
10,181.97159587950617,178.55172864589628,NOR
11,255.9781792128436,254.6894831393782,NOR
12,240.76567275336237,240.83980541558122,VET
13,224.8630081325655,218.93172159621625,NOR
14,265.35291859058253,264.2939866600866,NOR
15,170.68852110014765,171.45505761494874,VET
16,221.73971159030444,211.41367205134574,NOR
17,232.86099768135793,237.57416521504956,VET
18,132.57552553720092,129.930896583926,NOR
19,237.45766763213712,234.9332344841849,NOR
20,272.71182626291653,274.98718671371125,VET
21,243.4847493193506,237.7256096161961,NOR
22,134.94336897321207,137.67228951859167,VET
23,208.67974798304326,201.6696887763132,NOR
24,267.68330044190475,263.3725990725363,NOR
25,,278.6066480540819,VET
