Minisector,STR,RIC,Fastest
0,272.79639078717065,283.48104149333335,RIC
1,289.8743735017544,309.3124167045055,RIC
2,296.2050928,305.20529088677245,RIC
3,129.83574195017786,119.20262288386729,STR
4,207.2014762553792,208.20316612266666,RIC
5,258.7370720077563,260.420004281499,RIC
6,144.35855789778455,145.21925256617249,RIC
7,214.53731077159614,212.46596961144425,STR
8,263.76919622857145,260.75291933605445,STR
9,281.10407255739347,279.2737688380809,STR
10,251.59120436464315,230.19616022382417,STR
11,187.18347801116585,181.09611099428574,STR
12,197.3445981925926,200.65699165407787,RIC
13,143.01228321629506,148.9988047079275,RIC
14,188.32982231111112,181.41349592620855,STR
15,167.49045745,166.8957343190812,STR
16,227.62704439917184,222.79820078063722,STR
17,237.26250045879917,236.68294533167702,STR
18,241.86440219679645,241.11760836081746,STR
19,231.95181328695654,241.25611476709955,RIC
20,147.07107661128148,146.15788854884173,STR
21,136.97363664616609,137.1535076659739,RIC
22,177.41100455151704,176.46019849750755,STR
23,152.54227846771943,154.56179357127007,RIC
24,232.08253074285716,228.41730011844052,STR
25,259.75,256.0687488,STR
