Minisector,VER,BEA,Fastest
0,271.154147203208,273.5196300026029,BEA
1,298.95513742678,300.60378213046386,BEA
2,312.141690354215,312.46034258924624,BEA
3,318.3925923555555,318.66212133384613,BEA
4,323.50305055873014,320.04359188730075,VER
5,324.61701600344094,322.07166666039217,VER
6,208.27594931474286,205.36284734529497,VER
7,108.27507600441879,106.68165921309928,VER
8,187.47241204237207,193.55593358810208,BEA
9,261.23215409938337,261.708039290409,BEA
10,289.5606693742857,286.908188865641,VER
11,171.557917612693,170.91280135060575,VER
12,96.09234212037258,97.53970240610933,BEA
13,115.49217136607633,116.2289758404559,BEA
14,216.47388996740742,223.5590588358872,BEA
15,191.91513147006594,190.3629815454047,VER
16,226.0677137423378,225.56445297406128,VER
17,182.40749459702522,183.17365103486296,BEA
18,236.536113819714,234.65746453333335,VER
19,276.32640674904064,276.6358528143915,BEA
20,252.32349063917835,253.0483504533178,BEA
21,148.22691888010883,148.69284802540045,BEA
22,93.64520823801789,97.11719886907082,BEA
23,126.7585236585843,124.38155286935937,VER
24,225.79081291660458,220.33852527310657,VER
25,,255.3624976,BEA
