Minisector,HUL,PIA,Fastest
0,313.1845405401212,293.6617989802215,HUL
1,210.6330800558422,214.0401143390891,PIA
2,228.55476177191696,228.02306866767955,HUL
3,283.3524326431746,272.55817312372005,HUL
4,239.4236491798335,243.04246674516594,PIA
5,125.56934918905775,130.72351193444513,PIA
6,210.34122720013852,214.0267647127321,PIA
7,260.6374270815584,260.9012524136972,PIA
8,250.09482909496597,250.21315049581528,PIA
9,239.92832504160367,240.9488540201023,PIA
10,278.5029092566082,272.3948596491159,HUL
11,295.191996663853,286.98225246233767,HUL
12,310.15741516663104,293.2883336533333,HUL
13,323.39876453426905,296.80160415021334,HUL
14,324.5781578105263,297.1524795478261,HUL
15,249.79311722271606,262.77827658708827,PIA
16,240.23438877541508,250.70060022314405,PIA
17,283.4681165732756,276.1318126814815,HUL
18,304.77872185926464,284.82302944724125,HUL
19,159.57255290319165,167.47542620045502,PIA
20,206.6831235505866,216.40216263568598,PIA
21,178.32629210718363,191.94948535845916,PIA
22,142.23303376345334,140.2845096335828,HUL
23,239.90067055216178,236.1950649842701,HUL
24,294.22531201886625,278.851812683367,HUL
