Minisector,ALO,RAI,Fastest
0,266.1545639836735,275.31552145651483,RAI
1,284.8035985138903,298.27236828070176,RAI
2,291.98910776395593,306.48915673162696,RAI
3,129.0450418046257,126.53954240171126,ALO
4,188.61092843515297,194.60536993068646,RAI
5,251.90211168282383,258.2711177287982,RAI
6,145.2798839931371,137.75555003895445,ALO
7,202.74008095107462,200.43344257354497,ALO
8,253.13227130372405,259.27109988655894,RAI
9,275.5940859152443,284.77807011929826,RAI
10,240.65217409855074,220.80024697071212,ALO
11,184.91567767298937,177.83790147589156,ALO
12,189.84817267163686,191.9117168781533,RAI
13,153.83391759895727,146.93256082705594,ALO
14,179.38286367095753,175.56156206344693,ALO
15,168.34334761085984,159.85292389467787,ALO
16,219.41931211004174,214.43124787427357,ALO
17,237.94583295072465,230.79285805714287,ALO
18,237.6881808045407,231.37136913143112,ALO
19,239.9113226373431,237.29357737777778,ALO
20,144.8385235246114,141.16681350713804,ALO
21,137.20003115294153,129.51131022222222,ALO
22,170.3135075974828,175.73501025948613,RAI
23,154.28620971428572,145.54509302515953,ALO
24,224.37727464491815,232.6864631517936,RAI
25,251.4500032,,ALO
