Minisector,NOR,HAD,Fastest
0,285.37336053958876,293.0680908933333,HAD
1,296.2197883653184,306.215882247873,HAD
2,301.1437603630476,310.9052314646913,HAD
3,295.8441432611241,305.37185102222224,HAD
4,203.11592877538462,189.6176236789715,NOR
5,225.47664005789622,224.95223250920404,NOR
6,270.12706903945576,271.9121321159805,HAD
7,269.36558773870536,266.63492411027573,NOR
8,202.01633612321604,195.52034980253808,NOR
9,148.71988647029778,143.5212425182914,NOR
10,183.783324032,189.12329242394557,HAD
11,263.78149303299904,266.1852420803088,HAD
12,254.54569744969695,244.33242756508307,NOR
13,233.58602536019862,227.60028536911852,NOR
14,270.5549042707692,271.6697346436453,HAD
15,176.69246525746033,166.56295827293894,NOR
16,224.23617857697056,223.76634768243716,NOR
17,242.06728180102562,229.53221286176048,NOR
18,133.62784051263185,131.06979066463927,NOR
19,244.94368243501683,247.38119388349028,HAD
20,283.807190822924,288.76068656430044,HAD
21,251.02426859537414,224.93162709647473,NOR
22,144.98029314785492,147.4989246233997,HAD
23,218.07503671706726,225.23486869249479,HAD
24,269.58825350745,276.8359158896816,HAD
