Minisector,KVY,STR,Fastest
0,277.6658231872129,281.4060509651452,STR
1,254.9977899115932,254.07522802174384,KVY
2,268.5412923815416,270.27481834836533,STR
3,285.9301496368913,286.303703762963,STR
4,125.46306586910717,126.33684512830591,STR
5,207.86569270740492,206.14769856754916,KVY
6,264.8287037037037,265.6655150268138,STR
7,285.5638945823694,289.5172018507411,STR
8,295.4770832666667,301.7464776039017,STR
9,300.10778052976684,308.05,STR
10,287.42930751580116,297.4713584,STR
11,101.0309696894762,104.07646952930224,STR
12,218.35377570655763,217.99687384159333,KVY
13,265.12625028128804,269.21187494672495,STR
14,272.951852028442,277.1830973407119,STR
15,131.03852783124267,127.28741058331826,KVY
16,200.77973074540037,197.97980822465215,KVY
17,253.5202995235048,251.4569299397704,KVY
18,260.18594189955115,258.3825833158386,KVY
19,244.3108382727507,245.56377559770954,STR
20,150.4163146566008,153.05221784204434,STR
21,184.6679278525962,180.33637345406814,KVY
22,175.29511307887313,170.25253197734517,KVY
23,192.1613803108795,186.29088509546423,KVY
24,249.07201678294413,244.60145291803525,KVY
25,,267.39748970109065,STR
