Minisector,PER,RAI,Fastest
0,295.0919094648039,304.43370949849134,RAI
1,163.7844296701039,156.68596143887063,PER
2,156.09602221598618,147.84038827716276,PER
3,223.31194418154442,223.18198905717588,PER
4,285.800550466905,295.2748015873016,RAI
5,293.49253662710623,297.4453084134911,RAI
6,149.68121523781906,141.21908343466666,PER
7,142.89747687978632,137.8726892220355,PER
8,146.33749920106442,145.329416832,PER
9,181.6861572522067,178.5712231219318,PER
10,131.62142551025863,129.03250029633642,PER
11,131.02957066148863,125.62987220411684,PER
12,166.83584693810937,159.3830732369044,PER
13,268.34547704397744,267.6639166976297,PER
14,290.2733466675111,295.0472075172517,RAI
15,153.68074733974873,150.94911209899865,PER
16,214.87273410455987,210.18182294157077,PER
17,164.70468574833328,163.39246923602244,PER
18,268.0762108124137,271.0905025948327,RAI
19,291.4435898666667,296.77599991466667,RAI
20,305.43113247593055,310.49868660856356,RAI
21,313.3581349079365,320.23423265039946,RAI
22,315.9961956637681,326.0265151515151,RAI
23,316.63888893333336,336.3771907122709,RAI
24,313.601948000303,340.80265149090906,RAI
25,309.0,,PER
