Minisector,HAM,VET,Fastest
0,280.79416289352554,282.4895933000536,VET
1,291.1467578493402,295.61890326039946,VET
2,241.82499261943641,243.81101054509415,VET
3,120.68085927130522,120.94894859287628,VET
4,141.56940957644466,146.02322692092162,VET
5,251.10639140975945,254.3806930582553,VET
6,252.05562813224233,260.5200595554338,VET
7,128.56508079282332,129.53228180484206,VET
8,247.81308235867928,249.7248387387999,VET
9,262.9363870537199,265.817091340472,VET
10,212.4265987861791,220.0634828062257,VET
11,148.74826254561341,148.7455376644271,HAM
12,213.38340035399833,218.65772500491914,VET
13,256.72586682654963,261.92009436315914,VET
14,119.87472838517049,117.94162432301489,HAM
15,200.6461488873795,202.9790385563578,VET
16,259.41155381965933,260.0992322437889,VET
17,285.98079618180344,286.37953374744774,VET
18,296.0544325677949,297.0095415618168,VET
19,301.54348226156367,300.7061824663182,HAM
20,299.1014208653101,299.6467417966882,VET
21,164.64301790387924,164.24649469562905,HAM
22,152.7946846496559,154.17296266723702,VET
23,205.54997037119534,207.7615149887696,VET
24,239.2775090093264,240.64925490236251,VET
25,268.5833322666667,267.80597104269725,HAM
