Minisector,OCO,STR,Fastest
0,279.86370044725874,275.1806340280435,OCO
1,297.9464976854391,292.638773020314,OCO
2,295.58869395142494,290.59732688776734,OCO
3,180.57524498512896,171.0870377782139,OCO
4,125.18968731768584,125.97721891227073,STR
5,239.70779059450837,238.27542931444881,OCO
6,281.04088650957436,278.1544920560315,OCO
7,286.9229962153846,280.39794369034126,OCO
8,184.18392407013394,184.26818412500924,STR
9,150.53522588240187,146.99527998378713,OCO
10,255.618535245977,252.76836609567567,OCO
11,290.81256199905766,287.30483444798824,OCO
12,298.88100154920636,299.45901363558283,STR
13,277.2278661135802,280.7143309779022,STR
14,295.53595015873015,292.633239508966,OCO
15,295.08237027962724,294.9792114250225,OCO
16,256.7184084595168,256.4663441721628,OCO
17,227.57500317138962,227.91307656190477,STR
18,276.0802495584775,274.1106741696975,OCO
19,296.6886294685896,292.24479162222224,OCO
20,293.55456809565237,297.26859323746487,STR
21,236.65099652746753,229.58927218566566,OCO
22,259.6275276736556,254.75236531293748,OCO
23,144.25616557687118,139.95094348249208,OCO
24,223.64078442444256,217.5594395903958,OCO
25,,258.8833322666667,STR
