Minisector,SAI,OCO,Fastest
0,321.6554026816506,320.77381928663544,SAI
1,328.53409090909093,329.14311573333333,OCO
2,324.5268542251026,324.9343614060606,OCO
3,204.85844379099098,209.4695682546062,OCO
4,120.46691197978983,115.50079999280238,SAI
5,264.8270592490508,262.1608770947474,SAI
6,301.37226586190474,299.88041141091975,SAI
7,309.6542184679089,311.6298261561511,OCO
8,274.68146246424556,284.49633339733333,OCO
9,146.87947643128842,143.9902232087871,SAI
10,222.03742764329004,222.30946129463504,OCO
11,219.15460191869633,219.21569658437704,OCO
12,202.58749884444444,201.39563672294526,SAI
13,270.43778783369333,267.5479478511665,SAI
14,304.9479972167328,304.15036266666664,SAI
15,313.2031197537958,315.80985405501,OCO
16,262.0933020952381,271.7862199647266,OCO
17,210.52363105025137,203.5064373269915,SAI
18,274.3164289584762,270.04492633229506,SAI
19,306.36436958023387,304.8587737200931,SAI
20,315.33020189151136,316.7663043710145,OCO
21,300.9460167616841,307.32411907094087,OCO
22,213.18112038592065,208.64916351676462,SAI
23,266.5996701232358,262.63402717463623,SAI
24,303.819125344,301.97736310533617,SAI
25,,315.6041664,OCO
