Minisector,PIA,LEC,Fastest
0,270.19363391252205,268.9070454868853,PIA
1,289.07093603990927,289.16774414337664,LEC
2,287.5798933665408,296.3364753964912,LEC
3,125.73819060977404,125.85258229179027,LEC
4,195.75220567809524,190.71231797974608,PIA
5,244.89065880987772,248.21810988752955,LEC
6,134.92659957370023,131.10397446765307,PIA
7,206.36040463492063,199.52918710945477,PIA
8,258.141256905732,256.51713098825167,PIA
9,277.39726690285715,279.788221280393,LEC
10,230.39734885431636,232.12274891123812,LEC
11,169.51743257150858,169.72264878394282,LEC
12,194.95821364033014,186.58627422607472,PIA
13,139.9134939770538,146.02367224363323,LEC
14,176.69847123249167,174.41874597573093,PIA
15,164.46411769412893,156.12891467297297,PIA
16,224.80748214744688,215.80821684619607,PIA
17,232.3546792807321,235.18083835421524,LEC
18,238.98258360571427,239.07456678720953,LEC
19,227.06404070615372,227.0393957375905,PIA
20,145.93757553201536,146.21247089299348,LEC
21,129.37055807468678,127.51874331289146,PIA
22,164.89383262375918,166.3529022057473,LEC
23,150.3204252822934,148.17369850606326,PIA
24,227.67103071935497,228.50472819120182,LEC
25,257.97499999999997,,PIA
