Minisector,NOR,OCO,Fastest
0,270.80493656071303,270.7267830207035,NOR
1,295.8164692803688,304.29943250735926,OCO
2,310.4914238935488,322.1000784271429,OCO
3,318.82404178133334,334.8036582452572,OCO
4,322.8419876051582,344.8708332952381,OCO
5,325.184642976508,345.7054761447619,OCO
6,205.75034960985934,234.90793367095696,OCO
7,103.86405470228036,99.92328297185907,NOR
8,179.75438916,173.58544922311026,NOR
9,260.0641256063492,251.16524938197801,NOR
10,288.3200179244818,290.53421505226817,OCO
11,155.94703063411308,175.41790265058202,OCO
12,96.1451939809378,91.38137660821432,NOR
13,107.72808943046327,107.5639225764194,NOR
14,218.8451571186147,211.01152806433862,NOR
15,190.54147362349764,179.30026571953547,NOR
16,217.8593150566234,226.26682548825397,OCO
17,173.89284731904968,167.36821204103094,NOR
18,232.3523331641103,222.62337683250794,NOR
19,274.96966772335117,270.2481560277778,NOR
20,261.6815187599552,257.85241889489504,NOR
21,143.37515696717088,145.93075547238004,OCO
22,94.21804047663257,93.70203164549264,NOR
23,122.81949968086488,114.93897656000001,NOR
24,224.06037061750908,203.59565884617604,NOR
25,252.85999872000002,249.114584,NOR
