Minisector,HAD,HUL,Fastest
0,295.6410336769144,284.2735578684249,HAD
1,150.74709749845135,151.7582158530572,HUL
2,223.04765974859828,228.90167586083055,HUL
3,282.3652539579677,280.24488575007615,HAD
4,311.32239555555554,312.02078350708075,HUL
5,297.18405624407825,294.78652619957796,HAD
6,150.7349422630601,149.59275688257497,HAD
7,240.84186188691464,242.29645372843538,HUL
8,112.89501680023791,111.46264818736012,HAD
9,173.3762350551568,180.3505157781036,HUL
10,271.38583136705915,276.58402407973045,HUL
11,301.04614347962104,301.93412020148145,HUL
12,211.39576597099406,208.43435667926258,HAD
13,169.49097497605305,179.97768153914566,HUL
14,280.1830467383873,282.7705266677469,HUL
15,312.9089250852465,313.11109277614906,HUL
16,327.0683197745223,326.31293997866663,HAD
17,334.2824218,332.81982333320576,HAD
18,336.61175594285714,336.99851026219886,HUL
19,334.46494000788,338.24375,HUL
20,189.26438152970803,184.7529485704588,HAD
21,176.16572941373033,182.84480373866683,HUL
22,280.24295882250607,283.3587653219992,HUL
23,312.86910872622826,312.48075441778633,HAD
24,319.12610068624,322.30457772524295,HUL
25,,319.7196650792529,HUL
