Minisector,HAM,OCO,Fastest
0,295.4111663869804,286.12246464199484,HAM
1,147.27377355340806,148.91951473511048,OCO
2,223.4939439963186,221.2688822283015,HAM
3,280.73313044462583,280.2222403743723,HAM
4,313.4246593575287,314.0481931282152,OCO
5,303.56120996502165,297.31305401065566,HAM
6,149.95021227934396,148.4383530347903,HAM
7,252.058401301231,257.1365762836006,OCO
8,113.5668474082584,115.96400181948866,OCO
9,173.64137658378067,166.46032882966676,HAM
10,280.50226787613275,277.2788835059765,HAM
11,304.24630228009886,302.8115172342857,HAM
12,208.0783652102876,207.44788148875256,HAM
13,177.7836887242369,171.6513140291847,HAM
14,281.9105364115237,280.9509016342857,HAM
15,314.21959080137117,315.0645641037399,OCO
16,327.8394865080277,330.52739313131315,OCO
17,334.8199318048881,338.1744809001146,OCO
18,338.26306348583046,341.6016356780247,OCO
19,339.7153835212949,342.70178815111115,OCO
20,178.59671774468495,193.16988928227389,OCO
21,176.37726251123664,180.52531091289038,OCO
22,278.81231190349206,283.730390021978,OCO
23,314.0904020614204,316.26487940693875,OCO
24,326.11980158984125,329.48081380788443,OCO
25,326.3333333333333,331.01176470588234,OCO
