Minisector,HAM,ALB,Fastest
0,279.22326349229417,278.37427996414857,HAM
1,127.83786877390541,116.11904618209842,HAM
2,155.0369464959638,152.59179884770137,HAM
3,211.81946121674946,204.75352980955128,HAM
4,168.19280331844158,161.6005392087683,HAM
5,242.84489026346182,240.45994401966036,HAM
6,216.76609832248855,191.18564497887942,HAM
7,136.07994388808646,132.84388331652661,HAM
8,231.43330400609526,234.34569563384403,ALB
9,272.597293741936,275.6837825860317,ALB
10,282.53481438814816,283.47332547764705,ALB
11,155.0532555122819,144.03575945527655,HAM
12,214.7934086814815,215.77112533666826,ALB
13,265.5600564631579,268.9426552534744,ALB
14,267.3686734239446,259.16353660666664,HAM
15,102.52746857847785,97.51506278842646,HAM
16,214.07550012383552,222.48230237252545,ALB
17,267.59949206349205,272.22155497640694,ALB
18,289.19134912645825,294.28418851924965,ALB
19,300.84633759253035,303.23103998197706,ALB
20,304.26715686274514,310.29750227279857,ALB
21,286.7288428925647,270.521744701244,HAM
22,155.38887761824088,148.08538989355552,HAM
23,228.7346136628036,238.53614069638098,ALB
24,273.89343869885806,276.8042227484445,ALB
