Minisector,RUS,SAI,Fastest
0,283.81345132279574,282.2477449272381,RUS
1,300.19490638080475,293.8005407307359,RUS
2,231.23610829357906,236.39467763153053,SAI
3,114.69347532629058,112.23068795537795,RUS
4,136.6114889192728,132.14456888759935,RUS
5,256.4078679749404,251.0287760886857,RUS
6,259.5676238095238,246.70099462768576,RUS
7,124.46863529788385,128.4129224066721,SAI
8,249.32808221223888,248.41054931857707,RUS
9,250.51387967717943,263.6752064559726,SAI
10,209.97873372447137,204.0359038899471,RUS
11,144.3816607106441,138.49902963202555,RUS
12,217.57018269333332,212.10372462154393,RUS
13,265.1042380496296,254.7269603657143,RUS
14,119.62035244760352,116.25074369883983,RUS
15,192.5890682416194,198.53009060218778,SAI
16,263.5430722074074,263.4502678199034,RUS
17,292.890684823716,290.62334112614235,RUS
18,306.99043859649123,303.57345295285955,RUS
19,312.58514829712084,309.77069454222226,RUS
20,316.35552631578946,308.3518670491165,RUS
21,181.17451804674425,149.62250066628647,RUS
22,146.82928231041845,162.74657095485637,SAI
23,212.19237151890812,205.20896556719933,RUS
24,239.45438442016507,239.9974963777778,SAI
25,272.2142857142857,,RUS
