Minisector,RIC,GRO,Fastest
0,308.4810949393139,307.7647937381812,RIC
1,235.82407450451464,233.24219515409473,RIC
2,141.43425272962813,137.65681878603087,RIC
3,221.67552477613808,221.40423463104005,RIC
4,264.64584177847075,265.91594745845003,GRO
5,290.05992613773935,288.6426266634629,RIC
6,304.6062499809524,302.806832109884,RIC
7,284.2968918779193,281.95859253333333,RIC
8,181.23430053892636,171.04949187094323,RIC
9,242.89594234587972,240.30632860104615,RIC
10,274.71014990007166,275.15400695864014,GRO
11,270.57588002785695,265.9667703983216,RIC
12,212.80300491410273,208.48437481212122,RIC
13,137.62875249207323,132.12067010214457,RIC
14,124.14195347129221,124.96586687745207,GRO
15,172.27789535952675,173.69986893199786,GRO
16,128.79527401333056,122.21186522153496,RIC
17,233.6376704740427,231.86794691047618,RIC
18,191.75651818483848,197.73076735888756,GRO
19,171.6005646913898,164.4848290541521,RIC
20,249.09414800995373,252.86228604554424,GRO
21,277.7044079369722,281.613281,GRO
22,293.5540325705394,296.00835750922425,GRO
23,303.70852218004904,304.3480627108957,GRO
24,308.40125870746397,307.630774273537,RIC
25,,309.0,GRO
