Minisector,VER,NOR,Fastest
0,278.2790423660664,281.3803849287982,NOR
1,221.91778517333333,220.19576184761902,VER
2,113.44694477915814,114.19425203654153,NOR
3,194.35726416727272,200.33066457104294,NOR
4,172.38755658149762,169.70087287511583,VER
5,219.01546994917646,222.32363525079367,NOR
6,279.78906382714246,279.5233390596491,VER
7,293.38875008,297.43198677673263,NOR
8,169.42450914883713,168.6408557160173,VER
9,128.42619627805584,123.55226659878444,VER
10,138.669018666605,137.08326187597737,VER
11,197.611858556346,202.01026159542857,NOR
12,206.07679225171108,205.16206714364512,VER
13,134.05635450666665,130.582305853097,VER
14,142.03487262341068,135.74543446198365,VER
15,134.58306848276726,140.36788044867765,NOR
16,251.705159415873,259.1306089826591,NOR
17,139.20710101961117,134.62712334078992,VER
18,204.09246821458828,206.04677493136103,NOR
19,133.5251295888416,128.89283883397363,VER
20,145.56576677690904,143.17651367076442,VER
21,127.92194075493028,126.58917183181501,VER
22,154.26949240133226,155.65124887277142,NOR
23,220.23085322539683,217.10187712820513,VER
24,238.8367801269841,243.38481299570054,NOR
