Minisector,SAI,HUL,Fastest
0,253.32794929953602,253.7697818669815,HUL
1,209.57329145334444,198.9211310412289,SAI
2,206.18897836011115,205.38835494965988,SAI
3,256.2089444947908,247.26924508635824,SAI
4,272.2947852909926,268.5982622708918,SAI
5,292.2242902421094,288.52230628675784,SAI
6,168.63826579742496,153.91507112065747,SAI
7,184.78419678756114,189.45380020251693,HUL
8,268.6782728,269.6138771220779,HUL
9,297.2232691404147,298.90265620109176,HUL
10,308.33311926245426,311.12383404498314,HUL
11,313.67174259745366,312.9477865268262,SAI
12,110.81633314135873,107.62962971054347,SAI
13,196.99474288298978,192.0311975774082,SAI
14,272.57147942647345,275.04872191201315,HUL
15,296.68717434180707,309.79870855610113,HUL
16,302.7685755507181,320.6717942404889,HUL
17,187.52025930446842,187.14506260620485,SAI
18,220.46330744396937,216.21129729914531,SAI
19,272.27754494439074,267.0880136474931,SAI
20,149.74897415623823,159.9948145794318,HUL
21,146.86190812653302,137.87442432227172,SAI
22,226.6684225184051,207.43761459654627,SAI
23,233.94158558118787,228.12977678633607,SAI
24,156.77025251576148,156.20144244505863,SAI
25,,225.37275839477945,HUL
