Minisector,NOR,ALO,Fastest
0,242.609386764873,241.82053602321253,NOR
1,277.0490999791181,272.50352286867894,NOR
2,174.09932590128827,170.5513677772311,NOR
3,150.02891840826555,149.71219984982454,NOR
4,255.64410839416934,254.84113309529374,NOR
5,268.2676363058504,266.5286345393838,NOR
6,218.1835808150855,226.64283300483817,ALO
7,195.7958029261388,195.08728445432612,NOR
8,151.15849214596813,153.6902118819438,ALO
9,204.88780482473905,202.3656537146783,NOR
10,269.16019873616165,269.9990128577808,ALO
11,119.38519186799081,127.27733697481072,ALO
12,196.13349399860886,189.25906348878613,NOR
13,272.92930489396826,265.2414212609073,NOR
14,306.3243132875577,289.44440102365127,NOR
15,320.6083390948571,299.6858237430303,NOR
16,262.86324000759686,287.9962850711111,ALO
17,120.23659248418087,127.82190493066658,ALO
18,124.89753328488361,127.88233289528378,ALO
19,121.89296046089234,117.59950835471022,NOR
20,224.75094559204834,209.22758741778654,NOR
21,255.14285483209235,247.0290823375238,NOR
22,232.5345468619142,247.67252344833196,ALO
23,210.5684233314093,199.69609776604563,NOR
24,130.9554369877316,127.41353888724956,NOR
25,,204.63660608,ALO
