Minisector,RUS,LEC,Fastest
0,287.6989599613518,290.30450519443224,LEC
1,299.2642946285443,303.26075438209944,LEC
2,303.384603290236,308.0210689015873,LEC
3,303.9527479525926,309.56250011428574,LEC
4,189.05411425734786,194.24830949155273,LEC
5,215.66896057791035,214.5070960153375,RUS
6,264.8325249942857,267.0121478673106,LEC
7,256.21837500337386,269.5111420266667,LEC
8,180.66879398170488,190.9525596656171,LEC
9,150.44807664354337,157.21751970170655,LEC
10,180.75570968561593,188.98564312024305,LEC
11,255.42707244071738,258.4824900972438,LEC
12,248.55605722691317,251.2010422636774,LEC
13,225.6845149348148,234.89828260987014,LEC
14,266.04995335434523,274.3377142441252,LEC
15,164.56142657596962,174.87139272507235,LEC
16,210.66558804020806,220.0316489328363,LEC
17,233.8825087930736,241.81923464753933,LEC
18,127.95860458528138,140.49922295114183,LEC
19,237.92618665928853,240.59146679656874,LEC
20,274.6626460744589,274.272602378836,RUS
21,244.9227375648819,242.0197484521739,RUS
22,137.3187676892073,143.0216586890334,LEC
23,206.47733156017281,215.0675012247445,LEC
24,267.439128277655,268.9675871059879,LEC
