Minisector,VER,SAI,Fastest
0,295.520237968254,326.92249338546367,SAI
1,297.78651859585557,337.05416658823526,SAI
2,288.48333413333336,332.8845964467665,SAI
3,224.38011264204806,221.44940692161174,VER
4,221.04099661128205,218.59790009642694,VER
5,121.76074153502046,116.85626872417144,VER
6,228.099254749523,228.61067510660345,SAI
7,266.7600071039635,267.14464238268397,SAI
8,217.89570627750916,213.8534120929655,VER
9,124.5905989962453,120.98029872917954,VER
10,239.93419463139693,244.0822400021447,SAI
11,251.432542444794,247.81141448612834,VER
12,138.370801320784,127.69996533754737,VER
13,219.70123238941798,223.2418249794422,SAI
14,265.72916630929706,265.90340892121213,SAI
15,223.1326216216237,211.52470476190476,VER
16,173.49931985565345,171.9714136450715,VER
17,242.61882943982073,242.72808064927537,SAI
18,126.42254433914079,120.30091307721422,VER
19,154.0618388994709,142.05096610949238,VER
20,205.25646924836545,207.9821408,SAI
21,255.1838758426501,262.3908368156242,SAI
22,269.7504632011899,279.09206323809525,SAI
23,279.68670437117663,288.41892360314415,SAI
24,288.93195447819545,297.1291664,SAI
25,293.0,,VER
