Minisector,RIC,RAI,Fastest
0,288.035869542029,291.13267721904515,RAI
1,306.19044100315995,313.33020810666665,RAI
2,302.1220455527605,314.082630688091,RAI
3,183.4948911674525,182.4770840515406,RIC
4,223.97395855238096,218.6235908439603,RIC
5,210.7720235159946,198.5477708971724,RIC
6,194.94907306229737,184.31811978487394,RIC
7,215.79035273315907,208.4018469990148,RIC
8,259.418403253068,257.90911863466664,RIC
9,264.67762173828953,266.5180222542181,RAI
10,173.4173842558101,170.63530103703704,RIC
11,239.70227739682662,240.7213448524508,RAI
12,119.06433340871347,120.93442563456763,RAI
13,228.37566258906529,225.700951643663,RIC
14,275.66313791583053,278.0461816496232,RAI
15,282.77559517229435,294.7760713987879,RAI
16,211.79841370365335,209.84585473366172,RIC
17,187.265910376912,174.76655943027998,RIC
18,271.3184858189376,268.47016060251246,RIC
19,296.81309556825397,299.5215345605461,RAI
20,308.334390664492,313.3959194113577,RAI
21,307.91249973333333,315.61020842666665,RAI
22,270.00543147220816,282.5657209212121,RAI
23,118.27399146283175,116.44372180138963,RIC
24,243.45142226390422,235.2467939630566,RIC
25,,276.3416661333333,RAI
