Minisector,RIC,LEC,Fastest
0,291.00545153576536,293.46815446580086,LEC
1,300.4199544743764,304.45395824,LEC
2,305.6767838889357,310.7016273897455,LEC
3,300.3203323584606,311.02623009211095,LEC
4,203.4639485998577,199.73722853382068,RIC
5,224.0883009622081,225.0482318957585,LEC
6,268.14756669482404,267.1551584,RIC
7,275.32123808431385,270.1249398300489,RIC
8,197.63206008553462,195.22569157603687,RIC
9,160.81485625416667,158.14380416686473,RIC
10,190.1335238854261,182.43635038121397,RIC
11,259.97758765714286,258.4059189232409,RIC
12,253.95866743466667,253.21815581019447,RIC
13,236.35104715721954,233.6496776895588,RIC
14,268.0141265289926,269.1666077394474,LEC
15,182.335993627564,179.070801174674,RIC
16,224.94910605500283,221.59819340915237,RIC
17,249.5459237109975,247.50623540389822,RIC
18,141.1530990251596,140.0386014746136,RIC
19,241.2795379873016,240.49889440762922,RIC
20,279.39002565656784,277.6788958683983,RIC
21,260.25913638968785,262.96845403561076,LEC
22,150.63375598536115,147.43309061214987,RIC
23,215.20977277230028,210.52051317245727,RIC
24,271.12190864593987,271.23089784935064,LEC
25,284.3357129142857,286.63333546666667,LEC
