Minisector,RAI,ERI,Fastest
0,251.85190692763356,250.33742716034314,RAI
1,284.73956911733137,283.2241666666667,RAI
2,174.1123178498277,170.1101319727715,RAI
3,163.47008506389201,161.74160052910054,RAI
4,259.6621216,255.01754067623688,RAI
5,275.33842229526715,268.7564935064935,RAI
6,233.553624544,228.96414246311554,RAI
7,207.0642310181695,202.00733894213369,RAI
8,164.95899654965987,161.39572012972974,RAI
9,220.74372692546757,211.01570900395114,RAI
10,271.24325424761906,268.98007411519274,RAI
11,133.67001242424033,130.5492415726171,RAI
12,216.64014606987436,213.37321451428573,RAI
13,278.35479057414966,272.71336435738874,RAI
14,299.17828951578946,293.21446438095234,RAI
15,305.53636911238095,300.6710528,RAI
16,242.6845228312381,217.55887001052938,RAI
17,130.09848273971312,131.6301380181066,ERI
18,127.39687796069963,130.5988417930778,ERI
19,118.80030932227494,119.45707792574547,ERI
20,227.16664952144532,225.3231142909049,RAI
21,253.7528987826087,256.42078347169206,ERI
22,236.8107231058349,230.85699797333334,RAI
23,217.08155182275016,205.54499038281295,RAI
24,137.0385676948276,137.6951461621164,ERI
