Minisector,PER,LEC,Fastest
0,236.89905782365594,233.03800858478797,PER
1,284.91580100351416,279.63896845206347,PER
2,300.6941551639398,294.74292553713383,PER
3,307.35436057520894,301.1020348837876,PER
4,262.13631315538254,264.6879172388283,LEC
5,169.01668160464112,167.4081562528377,PER
6,263.8902772938272,258.4117169582667,PER
7,283.1298076893773,277.1345679802469,PER
8,208.39908274938776,206.01832983731958,PER
9,221.29166213022455,221.75839862763257,LEC
10,179.29518095222025,175.5223841849716,PER
11,227.47281690956606,224.7356323142476,PER
12,202.60581316184604,198.75359721104792,PER
13,207.46750093714286,206.84861872941588,PER
14,223.13719246901934,218.46422655127142,PER
15,175.1579848063426,177.28732771812554,LEC
16,248.88563720706262,243.66941170193704,PER
17,289.1306873779582,282.5420001462857,PER
18,302.32191052628684,297.64802382240373,PER
19,284.81437083076923,294.98416661333334,LEC
20,127.53679131458013,128.77986317819267,LEC
21,157.5310743629729,156.33055344459925,PER
22,154.96218169075686,148.51735689907542,PER
23,197.78133739590342,200.90336697904763,LEC
24,148.20043631169392,147.23660176434586,PER
25,191.53333759999998,184.10833706666668,PER
