Minisector,NOR,PIA,Fastest
0,297.4625464368886,290.41053708246915,NOR
1,316.8531128747795,299.24690127058824,NOR
2,325.4703776333333,303.08697476302524,NOR
3,311.62314285714285,296.1307587994771,NOR
4,170.22461084643479,165.90274750505708,NOR
5,206.43161630036633,204.74004653022533,NOR
6,232.3672875202552,228.88640879359428,NOR
7,266.4770733662888,263.8818013766256,NOR
8,247.58835978835975,252.90304982093897,PIA
9,162.75756687426062,162.70072325004787,NOR
10,222.13330898992407,223.45081957225028,PIA
11,126.81562304393911,127.80288190993502,PIA
12,228.7815855477809,226.19526009391507,NOR
13,177.4415008332787,176.00629778659166,NOR
14,216.41140668666665,209.82519281778517,NOR
15,241.20802182121523,239.92084270545456,NOR
16,264.0077161323457,260.6580671117165,NOR
17,283.6773851229893,284.9667233016002,PIA
18,155.46768970124083,164.4296324849632,PIA
19,160.24322817792626,163.58511798798276,PIA
20,142.61392596996134,136.35282304118724,NOR
21,229.91800615238094,224.81836782730156,NOR
22,262.6533062817391,259.7556764544416,NOR
23,252.9437415288787,250.80961036067094,NOR
24,274.6359188644156,271.40539258083993,NOR
25,283.6477277090909,284.7142857142857,PIA
