Minisector,STR,SAR,Fastest
0,243.3331433482664,250.9821165021863,SAR
1,279.7712411885714,291.8343870187463,SAR
2,169.76461784760573,160.99831226392985,STR
3,153.67878454953296,155.86572096873684,SAR
4,256.5927659178667,252.07306422867026,STR
5,261.0303328238509,239.64501181252527,STR
6,220.41646301209806,205.12723317449488,STR
7,202.0778238300092,190.42313582829755,STR
8,156.08075501744236,149.70883195440865,STR
9,215.91031818830498,211.39349156816303,STR
10,273.61967013018386,276.1304205929004,SAR
11,121.09219250536849,114.64614280571213,STR
12,206.57980365545842,203.79503644321838,STR
13,276.30507464177765,275.1899404989322,STR
14,302.40872467595653,305.6327224047485,SAR
15,314.3376095157895,316.7076080463941,SAR
16,265.1652174860012,237.2141599458201,STR
17,130.8310826122711,131.48949900356527,SAR
18,129.43200587762743,127.81512520569389,STR
19,118.55618804562629,119.52987935203105,SAR
20,222.60594194757846,215.36518948448824,STR
21,253.824550318564,243.44267290232855,STR
22,232.11448586979878,225.72825201181604,STR
23,211.87006399905275,207.5816276829932,STR
24,134.5421799988306,137.3488752888212,SAR
25,214.33333333333334,,STR
