Minisector,HAM,MAG,Fastest
0,300.8512595974095,301.36609128507934,MAG
1,229.31510860546032,242.2366626133619,MAG
2,135.43885371757403,131.2756090156333,HAM
3,245.97524985779845,235.89182358952382,HAM
4,191.96616683020682,187.1024336944799,HAM
5,239.65652069538316,249.01670782655032,MAG
6,226.23560035003067,223.3985376945372,HAM
7,257.2135994407408,248.8653639925178,HAM
8,288.70266636344337,286.7285107067372,HAM
9,205.32357823747614,210.2285918677088,MAG
10,201.53036528335025,198.11440718066206,HAM
11,274.21703255316805,272.4924108219202,HAM
12,218.63858133294536,205.36409482656123,HAM
13,251.66249909255188,243.73722459326373,HAM
14,290.99291529251326,289.58434479277867,HAM
15,305.3619792242424,314.64845375125134,MAG
16,307.43795747262175,320.1115830728741,MAG
17,209.68175443273057,193.2890468792844,HAM
18,260.32540630219347,254.10225704296298,HAM
19,293.361906402963,298.820719695862,MAG
20,305.7395927949121,323.863793422666,MAG
21,304.3369489403752,326.3676635567336,MAG
22,150.66924657349628,143.88681567520848,HAM
23,234.30500236458653,227.1905463598597,HAM
24,288.0410984035072,295.0795352768912,MAG
