Minisector,PIA,HAM,Fastest
0,274.74411761045195,270.2151945904762,PIA
1,231.90427837121024,246.90816801845375,HAM
2,119.00886768097479,113.25471106895122,PIA
3,171.91505484937326,169.99245210326717,PIA
4,187.96168976737326,188.0458248881738,HAM
5,202.27771293735276,196.19172493731799,PIA
6,267.6723217038961,263.53543795671,PIA
7,289.2873530729412,286.546520068129,PIA
8,230.37519588431246,234.93308013876828,HAM
9,147.97762899175868,139.32905007864397,PIA
10,123.31038173015763,115.85046517874424,PIA
11,161.5390959678673,143.38373416192482,PIA
12,244.2506344645066,244.6980176777143,HAM
13,149.54353884773107,147.4367005401109,PIA
14,153.75696000694754,148.4939787883189,PIA
15,105.61358544224353,107.13246174441319,HAM
16,222.61228442923928,214.09376381744056,PIA
17,237.1247889760571,237.50250540800874,HAM
18,128.36424733360067,128.44973097894822,HAM
19,241.37993861626376,239.41717771398118,PIA
20,278.9152531714286,274.6685491224242,PIA
21,193.99942912228215,198.80952827486,HAM
22,156.53450265730612,150.91162079753562,PIA
23,217.89788332603075,217.0931981656118,PIA
24,233.02088587202124,229.8752146075188,PIA
25,258.3333333333333,255.703124,PIA
