Minisector,RUS,LEC,Fastest
0,294.298249984,303.5980260484738,LEC
1,207.09914936565656,214.8144199876923,LEC
2,141.9098323661516,137.53206698311251,RUS
3,217.10415584415585,211.8877557638095,RUS
4,161.0786422002782,157.34306207170306,RUS
5,184.78537374337662,175.66355293107344,RUS
6,253.6007837171227,251.56616661327325,RUS
7,277.1544668908151,279.4616671466666,LEC
8,282.9093694335097,285.5769841777778,LEC
9,267.3787831675186,259.6909656623633,RUS
10,253.99993571676492,243.68277854814812,RUS
11,245.7747892278697,241.52937933524512,RUS
12,208.877175787961,206.7679861111111,RUS
13,134.00586306009583,136.7280072525249,LEC
14,144.63403515670302,140.26968725467785,RUS
15,177.55694822162965,179.42039827365227,LEC
16,250.54436870927103,252.98717671111112,LEC
17,231.6338289719662,240.71165151227797,LEC
18,112.53959254925012,113.24048011755102,LEC
19,203.344598043366,199.38376364085366,RUS
20,198.61701201586027,196.24288234901098,RUS
21,234.38888234240363,231.87728788340155,RUS
22,263.43168232903827,263.8221580347475,LEC
23,279.96933152999287,283.536644631907,LEC
24,289.5482239494431,297.6851289327831,LEC
