Minisector,PER,ZHO,Fastest
0,309.90162180881833,319.64879388070176,ZHO
1,318.58965282031744,337.3572294372294,ZHO
2,315.56422951068583,339.9626063168015,ZHO
3,193.78135840362802,183.12442725824653,PER
4,124.81896501235947,125.72259186549225,ZHO
5,259.33583895906474,261.1133280782222,ZHO
6,293.1675565830658,298.9734693877551,ZHO
7,305.5369780531977,312.6089028266667,ZHO
8,266.2576101621127,249.7293086080586,PER
9,146.06258983145813,143.5923588093431,PER
10,219.9841303619048,205.5711930816721,PER
11,217.99202651519806,203.94270124716553,PER
12,202.30021499433323,178.00988057913378,PER
13,266.21462490088226,265.7247391476011,PER
14,297.81177579882325,310.697556475188,ZHO
15,309.7809171606107,329.7605555555555,ZHO
16,270.8712189329426,249.9575197214493,PER
17,205.19970300976536,203.03074461666526,PER
18,270.0423383775057,271.77860127303103,ZHO
19,300.1765815555556,305.8864821428571,ZHO
20,314.16406036308695,319.6131629427994,ZHO
21,294.50716748491243,289.5079329004329,PER
22,218.88073790632177,190.29970008357307,PER
23,264.7493438382761,264.95352813852816,ZHO
24,297.99543159952157,304.15745432615734,ZHO
