Minisector,HAM,KVY,Fastest
0,275.7570482206852,275.989275228713,KVY
1,291.47649379343795,292.6661137360316,KVY
2,289.5869977613353,284.7515721067934,HAM
3,200.42761005473656,173.28492843567906,HAM
4,131.84607185682765,132.22942446231613,KVY
5,242.8391574626024,248.03477022947143,KVY
6,283.3177982257771,295.867548735598,KVY
7,297.7530147189888,301.78608126161885,KVY
8,191.60539879293916,165.24322930076312,HAM
9,154.678439457826,149.540004355187,HAM
10,253.3453940756525,256.56634014427885,KVY
11,284.1363957850996,288.78270325047106,KVY
12,293.79522040906016,297.7324633618057,KVY
13,289.3115778381171,283.2642540766532,HAM
14,298.48105571751,300.6693934181072,KVY
15,296.5244402797999,301.9261455605268,KVY
16,266.60563457623897,244.14389341134327,HAM
17,243.75720691116356,224.5988046519176,HAM
18,284.0318364916553,287.5887802655546,KVY
19,301.4573627087106,317.9880943390989,KVY
20,307.61260252366435,317.7468323723468,KVY
21,249.2253937188489,208.88979642959282,HAM
22,265.55238803849306,252.06513677009886,HAM
23,147.9425511958809,135.02101151327807,HAM
24,223.06924612322976,230.73611897156385,KVY
