Minisector,HUL,PIA,Fastest
0,300.67836737460937,300.41137398382165,HUL
1,179.97162872382754,192.41733093576488,PIA
2,221.4070157854601,227.07681268244977,PIA
3,274.7130043594068,273.82440739347317,HUL
4,235.37081696101598,220.75164724496548,HUL
5,122.95738369931958,129.45285682207566,PIA
6,194.9133678464302,212.50100494497212,PIA
7,237.08213195353514,253.09406171368323,PIA
8,223.21570890600785,236.83242333768874,PIA
9,225.11512322498228,230.579364572456,PIA
10,273.2491824413931,274.63949385111624,PIA
11,290.82689015151516,289.52621877402424,HUL
12,299.49306832473485,294.77009959906655,HUL
13,303.82320105820105,297.38738151644577,HUL
14,305.2526186122829,296.9858079094853,HUL
15,237.96001378838417,243.6765255812306,PIA
16,225.10188078955173,236.1182183378232,PIA
17,273.2654319371204,275.0190532879819,PIA
18,290.3411948337156,285.8362558535648,HUL
19,143.23968366905703,154.69782443655228,PIA
20,199.22921695437253,214.08261299022348,PIA
21,166.66606563150933,151.25825175454116,HUL
22,148.28901261482557,149.0940657472614,PIA
23,243.56665307604794,246.99274011652867,PIA
24,284.1215213001205,285.4478341132625,PIA
