Minisector,VER,ALO,Fastest
0,276.46371463609665,275.75056561834214,VER
1,298.47355432397444,298.0542425409862,VER
2,297.1045489473986,294.7155440291536,VER
3,175.53477937820105,169.02617764777372,VER
4,117.35769088847101,123.00487732093974,ALO
5,235.06802822443083,233.58315566607388,VER
6,288.9842257064248,279.26268453881676,VER
7,310.5168918547841,292.5497547992935,VER
8,180.82005421172468,183.23720468441275,ALO
9,140.6826451927269,143.66008394577082,ALO
10,249.2434409801382,249.34690763114673,ALO
11,289.7257287784127,288.9411858714148,VER
12,302.4136700554808,298.01572663258145,VER
13,289.6177962233766,287.02697609377606,VER
14,300.88965571864736,296.45306249723353,VER
15,299.4053771869343,300.32901717089777,ALO
16,257.6229457298551,260.6574643224381,ALO
17,231.969908485615,230.38364449382846,VER
18,286.0973720990804,273.2910410933333,VER
19,315.47546108997165,296.10316512242224,VER
20,326.6820210909091,297.7830139014493,VER
21,246.71293322981938,246.25173010581867,VER
22,261.45783875908904,261.5125448880762,ALO
23,146.6531545328107,148.0694369299808,ALO
24,207.85132909408696,206.6134586884127,VER
25,255.35714285714286,256.59999999999997,ALO
