Minisector,SAI,RIC,Fastest
0,255.17038784761903,247.56920962351936,SAI
1,205.30563648179273,210.11347190789988,RIC
2,218.02343869999999,219.87172387009318,RIC
3,263.51556850392154,262.3096340091711,SAI
4,275.7495002026667,276.61933316266663,RIC
5,216.5208950491859,226.66610930285566,RIC
6,93.46862643063685,96.57175725666644,RIC
7,183.27972457788675,182.03736985244862,SAI
8,275.20478754920634,267.4615737283951,SAI
9,308.7606333991342,290.2630434782609,SAI
10,320.65747185442274,298.3159419826087,SAI
11,313.7174234666667,299.5820652057971,SAI
12,112.48272336099694,116.34803296318272,RIC
13,211.8204881023016,209.8792924767677,SAI
14,275.12383368533335,275.0305321830694,SAI
15,293.5636646492753,295.5195651478261,RIC
16,223.9523979142857,245.9760545405384,RIC
17,121.96218668273184,125.20220409947456,RIC
18,151.53077117019217,153.14622967340364,RIC
19,251.0354941798942,252.91010328930088,RIC
20,153.6754449665925,165.64031128239202,RIC
21,129.1700302556359,128.29572802620797,SAI
22,201.76170218230152,202.47340027574586,RIC
23,206.89399457254902,219.49728893261337,RIC
24,164.202527760408,167.43193973365865,RIC
25,228.41666986666667,227.85694506666667,SAI
