Minisector,BOT,OCO,Fastest
0,276.9809084471609,274.18245166526316,BOT
1,296.8944444888889,296.2497179588638,BOT
2,292.6165397921453,293.91233335466666,OCO
3,187.89973813583356,181.92944258304297,BOT
4,119.86469431585638,114.80822787162077,BOT
5,235.49785051499492,232.01213952972432,BOT
6,282.9558244577383,278.92596127179485,BOT
7,290.34775565128206,288.3142079086632,BOT
8,179.14481528093376,174.8733145142857,BOT
9,139.09953197345445,136.71892649214197,BOT
10,250.39864573548658,246.91513909147403,BOT
11,287.9993335954286,286.486166272,BOT
12,298.26495300334864,297.56928876416487,BOT
13,278.38408875018314,271.1058642962963,BOT
14,294.43725165640103,290.9816185660952,BOT
15,292.3334994773333,295.89638991357725,OCO
16,250.07106082294055,246.45016036063492,BOT
17,220.89962191515153,218.79281010140778,BOT
18,275.8942934421899,273.0361103407408,BOT
19,298.8330002773333,295.7585540007405,BOT
20,298.1639562180665,295.66600008533334,BOT
21,232.19648359386397,225.9736386387072,BOT
22,256.9784399521658,245.3532530336508,BOT
23,138.86783164096352,138.56253369197125,BOT
24,212.29737035373404,202.21384660652518,BOT
25,257.0500032,253.84722133333332,BOT
