Minisector,VER,STR,Fastest
0,313.2436649632653,292.15023447333334,VER
1,223.7389670067999,225.0488950811944,STR
2,128.4230684432807,131.10912938194005,STR
3,217.54224091728824,211.16302803751327,VER
4,262.8839700682508,259.1392307082251,VER
5,287.7038858238768,285.23981412063495,VER
6,303.9722427545098,298.48961723117606,VER
7,269.7812445865195,271.99102043657143,STR
8,168.35032191261473,165.641525118287,VER
9,237.66793462605364,233.062776608,VER
10,272.53273208857144,268.2701398151871,VER
11,246.9862971254189,262.0834952063825,STR
12,199.35838473822903,207.2747114197333,STR
13,123.85966683683993,128.29196341870363,STR
14,124.28018410209575,122.21790461331716,VER
15,157.6135853708636,168.91355526846982,STR
16,123.7725702224359,120.62226675366256,VER
17,224.18800416969697,219.95274923869673,VER
18,166.7972190671781,195.3448715687257,STR
19,152.4087839264564,147.5723247153091,VER
20,241.82896656817292,238.57260629918636,VER
21,274.84047646933334,267.95190425635855,VER
22,292.46722179386245,285.388507947563,VER
23,303.3520834768254,296.73525720156863,VER
24,310.1556122049887,302.31845632969697,VER
25,312.2071424,304.6531248,VER
