Minisector,COL,GAS,Fastest
0,265.7201426024955,274.1010799162134,GAS
1,118.05072007512078,118.10497141013326,GAS
2,167.73794106303274,163.81471088435373,COL
3,205.2497271825397,196.79913601928004,COL
4,162.58110705024248,163.88082010582013,GAS
5,242.15683621933624,237.08920373046678,COL
6,199.9212580035639,187.14500222000223,COL
7,133.46901265210084,135.3721972613047,GAS
8,235.55811428771926,239.05994543650795,GAS
9,290.3669642857143,286.3399074311111,COL
10,283.13681200424344,279.2612647715729,COL
11,146.7900530944178,148.44763611895482,GAS
12,225.5273742417939,225.55246183231395,GAS
13,277.6138889888889,278.9879365079365,GAS
14,254.70505952380952,249.49064403961907,COL
15,101.0306464802917,100.40986093400026,COL
16,227.02044213290824,227.69825036088886,GAS
17,293.6075929259281,296.9611607142857,GAS
18,317.77710622710623,318.05735312286316,GAS
19,325.1915816326531,325.66869056,GAS
20,328.85502383085714,327.54125,COL
21,271.29067460317464,252.32873012064718,COL
22,149.8967091873826,148.87827371348456,COL
23,235.99561403508773,241.00629299337868,GAS
24,281.3453047119157,284.01738941584,GAS
25,294.0,,COL
