Minisector,NOR,GIO,Fastest
0,263.01740203921565,263.4879569837535,GIO
1,139.32890852891057,131.95245142959624,NOR
2,197.9115950730159,197.59722006349207,NOR
3,248.93120134754506,247.59346864432305,NOR
4,261.76953166666664,261.63472348444446,NOR
5,187.4430589482669,178.32700138666667,NOR
6,149.80770146095463,140.597709208766,NOR
7,184.81457387977335,182.36780284675322,NOR
8,103.6238545634812,101.86109977811014,NOR
9,78.20771525298507,77.86947747604732,NOR
10,93.88781188040417,95.58598416969697,GIO
11,172.67106489772257,183.3874503586247,GIO
12,245.45915975394917,246.6794106352941,GIO
13,271.46086790404695,269.95885346666665,NOR
14,279.7611117511111,277.28533648588166,NOR
15,120.96659408073516,115.54328968888889,NOR
16,132.49909070015838,143.58374271692784,GIO
17,195.93198737430635,191.02348601212123,NOR
18,202.3949076661778,197.1238082031746,NOR
19,225.22238893544974,213.74283390550698,NOR
20,137.50337757006818,133.8233872172043,NOR
21,119.83637872761904,111.72970246564368,NOR
22,89.98765470949458,94.19915538248891,GIO
23,196.269110641215,196.66547398095238,GIO
24,252.28480451764705,249.8911446,NOR
25,262.2416661333333,,NOR
