Minisector,PIA,HAM,Fastest
0,289.8327501019806,285.5589542985432,PIA
1,155.0319817153803,150.98345274153326,PIA
2,148.3617020956362,144.01379835029837,PIA
3,229.31218162511465,231.01891982283905,HAM
4,287.14754173598845,289.7491505487528,HAM
5,285.70882322351963,289.76362206997453,HAM
6,136.89435485969713,136.00305105079516,PIA
7,139.00432899523335,134.70817391224648,PIA
8,135.0441831265874,126.93137143209627,PIA
9,193.33152022327207,192.4194076499592,PIA
10,132.11571302381677,121.04717533890374,PIA
11,124.1134249235235,120.49392296026672,PIA
12,162.35346762455026,160.36394774948653,PIA
13,267.21387811321995,270.7180788089692,HAM
14,284.4721193288676,295.36821994074074,HAM
15,148.74101841638984,141.2193890936553,PIA
16,201.52012717545807,188.40277596379107,PIA
17,165.80847259436314,177.71577423583392,HAM
18,268.0314582006621,276.3637901100699,HAM
19,297.1025296016768,299.2284956350413,HAM
20,311.00730453490826,314.4681999053558,HAM
21,320.03157904360904,324.42944465777776,HAM
22,324.91883579051853,329.5089078687144,HAM
23,326.8562499809524,333.22559520000004,HAM
24,318.95729125155555,332.9430963816993,HAM
25,316.0,,PIA
