Minisector,NOR,RIC,Fastest
0,298.6293348646191,307.482579754946,RIC
1,234.47191650126624,232.31435062003712,NOR
2,191.6955827399571,187.48090804722955,NOR
3,263.0497393306183,260.7837901598797,NOR
4,212.42846254483234,215.16136909593632,RIC
5,106.9007689762649,105.62842804981716,NOR
6,165.19114213864125,168.29303088688823,RIC
7,255.67809364609053,252.5093649986317,NOR
8,288.37636748279994,290.9474291748571,RIC
9,304.45404367394383,315.32777396825395,RIC
10,307.34275739064066,325.00865687997646,RIC
11,211.8631838063492,205.5174193677037,NOR
12,136.45776135995283,139.71999912218223,RIC
13,250.9976455107664,252.43862050163216,RIC
14,289.6461508992,290.87000777142856,RIC
15,301.9546928517246,302.5479373902065,RIC
16,298.1575776758592,299.0911615063286,RIC
17,257.55820608410255,249.5155370337516,NOR
18,176.0233409592216,168.34850103354214,NOR
19,169.97982890930356,170.01249202626707,RIC
20,170.7200462376088,175.45680995613606,RIC
21,239.8199271185348,235.90286257142859,NOR
22,113.57215705652409,108.63925827500768,NOR
23,190.68946070069197,194.39859651533646,RIC
24,275.9631678639746,282.06064733284705,RIC
