Minisector,RUS,NOR,Fastest
0,286.1290773409524,281.98204544000004,RUS
1,209.0016594901099,210.52967445681404,NOR
2,224.82517247531374,223.03976253226665,RUS
3,270.2026444539362,270.00107173206345,RUS
4,241.16632801009007,243.95247936147564,NOR
5,132.5728226605729,128.7339831925923,RUS
6,214.7672971220202,210.1553301486123,RUS
7,260.81363811935745,254.6878913770545,RUS
8,249.67659992958153,242.54725065120772,RUS
9,235.21552080099192,226.69655254269748,RUS
10,272.75802856412184,270.6326280688133,RUS
11,289.6684348882452,288.85749712610846,RUS
12,301.1664457198746,298.72587740016706,RUS
13,305.85699554971427,303.30371437104765,RUS
14,303.0836169386667,296.1655012939327,RUS
15,257.90606856171183,248.34279875746032,RUS
16,242.25422246345914,240.0147320214355,RUS
17,275.09441922599046,276.1940243051429,NOR
18,289.36938669515524,282.41862463318034,RUS
19,151.74491405335604,156.71443413003863,NOR
20,210.61334680702726,210.78466811397806,NOR
21,185.95859684431016,187.442709627013,NOR
22,139.41316211778752,140.56756674775855,NOR
23,231.95165171315261,233.34768785563472,NOR
24,275.4012193979221,275.37240827756665,RUS
25,,285.57857188571427,NOR
