Minisector,RAI,VET,Fastest
0,308.40479175111113,294.6595756389234,RAI
1,254.91654167869717,258.8030757325561,VET
2,204.1495007066052,199.75926833931092,RAI
3,267.26547479307476,264.93260348953766,RAI
4,236.36312486587738,244.08541583589744,VET
5,121.28774007956196,119.75909272583,RAI
6,176.63992254920512,180.66460594570896,VET
7,257.9741112663548,258.28697924444447,VET
8,289.2022723393939,286.90911695905754,RAI
9,302.6401017078748,300.06183716363637,RAI
10,307.2693273261237,306.93985356589695,RAI
11,235.63422613665628,249.3745246829173,VET
12,146.0290379088557,141.57864828196932,RAI
13,256.9600074355917,254.60066666666665,RAI
14,289.6422343757576,289.59575018461743,RAI
15,299.82062496,298.55583333333334,RAI
16,297.2168651174603,294.5583333587302,RAI
17,260.84457464250164,273.5452292348699,VET
18,179.25059471238094,185.4027272039431,VET
19,189.9864413784979,197.10241798571428,VET
20,185.30455970142899,175.1784180881549,RAI
21,247.09666756266665,252.4398192664633,VET
22,128.59535573270475,133.73093350234385,VET
23,204.38453547618005,188.84413673086374,RAI
24,278.62426105295236,273.3739896971862,RAI
25,,289.0,VET
