Minisector,LEC,BOT,Fastest
0,245.3381896827586,249.6927316597456,BOT
1,279.51180555555555,283.51902172753626,BOT
2,187.45750643656555,179.04451004490858,LEC
3,154.18816290909092,154.986134478875,BOT
4,255.79296988607717,258.1128205128205,BOT
5,273.6139047619048,263.9054587281693,LEC
6,218.24098160639346,210.77708333333334,LEC
7,197.2113774976871,192.4840666314602,LEC
8,151.6503306538639,151.8856089124655,BOT
9,211.9120096887617,212.57135416666665,BOT
10,272.59583333333336,270.7931393755933,LEC
11,128.18545702717367,122.15167283293196,LEC
12,206.33769136649863,210.19215885877983,BOT
13,269.1148351648352,270.12586809052095,BOT
14,289.6654951766528,292.9636220604638,BOT
15,297.88999680738425,302.4799603301587,BOT
16,252.2393515851852,237.59154013710028,LEC
17,133.57521097428085,131.92261078046064,LEC
18,128.5394589828105,128.91739124998335,BOT
19,120.32852110320545,117.7412297158676,LEC
20,222.1710523579312,227.4519499087028,BOT
21,250.93086419753087,249.54278311765503,LEC
22,244.88021019858266,225.4532340825397,LEC
23,225.07871002412696,208.2844542840042,LEC
24,142.31148519343185,138.62428725009912,LEC
