Minisector,RUS,PER,Fastest
0,262.4746194339182,261.78073496088695,RUS
1,279.5143865464627,280.33420715411256,PER
2,278.5152855833333,288.02253811266274,PER
3,122.75758122952438,127.11930908571321,PER
4,192.4197244027171,193.5457855256316,PER
5,253.99949047536438,247.5224866783657,RUS
6,141.72616623195398,136.7932607047104,RUS
7,197.0156904958153,198.10773727502223,PER
8,249.8748250122449,256.36022638108136,PER
9,272.55085942457663,276.8494119715738,PER
10,229.8304099435168,227.87449237656568,RUS
11,177.72469611755102,178.19681819576314,PER
12,181.39317327295075,188.00115079555556,PER
13,142.79811514074075,139.8124096864864,RUS
14,165.3248419768889,172.90520696895103,PER
15,155.9978995232653,156.09730204629582,PER
16,204.89834059393937,213.9933366828623,PER
17,226.68556126811893,228.16139726666665,PER
18,230.72211886657598,229.64232680177778,RUS
19,239.24299998933142,234.68767915656005,RUS
20,144.89533033476644,149.14438321604243,PER
21,130.91435473660619,133.68939373746505,PER
22,161.64735927211754,168.82290730684807,PER
23,150.21812957985185,147.80247151865547,RUS
24,225.9922239423045,227.3914962240351,PER
25,249.08181643636362,,RUS
