Minisector,LEC,LAW,Fastest
0,260.5184936886131,253.91330740500052,LEC
1,131.83842425218248,132.23555669093906,LAW
2,269.85940317633475,265.87220034552115,LEC
3,311.1957720639821,309.1704940309286,LEC
4,309.7745289999724,308.3874570910476,LEC
5,318.3899538687227,317.0941234921102,LEC
6,323.5836096764022,321.2521738666666,LEC
7,322.5672,316.4749066257396,LEC
8,198.64149888673626,201.2939991354152,LAW
9,206.94724383679196,204.3968297373417,LEC
10,179.3314000651882,186.06445195388784,LAW
11,174.49433731797768,171.8325584846991,LEC
12,261.07611339904344,258.0314804486799,LEC
13,284.1010132329908,274.8317147191362,LEC
14,287.45046379244667,281.0355056582313,LEC
15,279.0920545385104,263.4291381349356,LEC
16,170.8146371424305,177.8880044545004,LAW
17,197.72730174611462,196.4589054852204,LEC
18,250.97648102103705,244.89425115118556,LEC
19,294.1112488875844,291.2685993294993,LEC
20,312.0108025169463,311.0220046284058,LEC
21,317.779029265348,316.3321683988454,LEC
22,316.2634573578422,312.73862478061614,LEC
23,272.12723849142856,256.71479345613864,LEC
24,118.79779895050802,123.29109186565886,LAW
25,232.34999679999999,,LEC
