Minisector,RUS,GAS,Fastest
0,313.9240280739506,313.9495154410339,GAS
1,325.9187804037645,326.9908527769133,GAS
2,330.65611373871786,332.1793092524494,GAS
3,301.13892989358146,302.0510249341793,GAS
4,152.489175670293,150.30644802365933,RUS
5,196.73241383805765,183.59334672020626,RUS
6,218.1480124375483,210.78085725372685,RUS
7,258.7933838994997,253.03334955903608,RUS
8,231.07344083846837,240.56082284539139,GAS
9,156.3210654785933,146.26146339997985,RUS
10,208.84819285490815,207.6105810721443,RUS
11,121.6882714425364,122.48232034214907,GAS
12,228.550893227447,226.05242863931971,RUS
13,163.14714734312878,162.41602131982458,RUS
14,207.17803951738463,200.7213158733759,RUS
15,219.77815718974924,214.17070630345776,RUS
16,264.36019931061577,250.0595950551361,RUS
17,304.5161369479086,289.3593133844394,RUS
18,142.55998770418336,143.67075911444888,GAS
19,157.13669879872515,147.64349319283855,RUS
20,132.268195768097,128.53325266786572,RUS
21,222.66669628635492,221.117035829813,RUS
22,246.7271615504531,251.42523792928327,GAS
23,229.43737049483997,225.3639140089759,RUS
24,281.35448776632813,273.19839218908265,RUS
25,,300.256268076877,GAS
