Minisector,HAM,HAR,Fastest
0,252.2764499640252,244.97685222665177,HAM
1,290.3269870303974,282.0063492063492,HAM
2,185.38478874287924,172.2717093252151,HAM
3,159.52914864352164,161.11708501247793,HAR
4,260.5974490557823,255.50009755028796,HAM
5,271.65946967272725,271.12675848875267,HAM
6,236.12799991466665,223.6851816114612,HAM
7,210.43072007567415,198.56846039908322,HAM
8,159.98677411877117,159.33269275989733,HAM
9,218.94504992168666,218.5290732610403,HAM
10,272.44423558897245,269.9022963109104,HAM
11,135.59558821753257,128.1032547280844,HAM
12,217.5510865280108,217.16309379047618,HAM
13,278.2625,274.63477298219385,HAM
14,301.819366966083,296.15814519498747,HAM
15,311.5833333333333,304.18947368421055,HAM
16,243.87008281573497,229.96967428906606,HAM
17,130.55225643742477,129.06756322882512,HAM
18,133.8816519284819,128.42909613743808,HAM
19,120.61461632341171,118.13613270903126,HAM
20,228.45427618688726,224.4684996693333,HAM
21,257.0848957333333,254.27030930888802,HAM
22,240.60149724070308,224.18493706666666,HAM
23,218.63837624616974,209.77795979886173,HAM
24,142.3959745739647,135.747439539041,HAM
