Minisector,RUS,BEA,Fastest
0,292.5200368153955,291.1336594426272,RUS
1,150.33051330752485,148.9016898493639,RUS
2,226.85801610589337,227.78821695628946,BEA
3,285.0138312459218,280.0604650938525,RUS
4,315.48742190363896,311.4460142334199,RUS
5,285.7783204665387,302.14195573280705,BEA
6,150.92788906907225,153.72700117557454,BEA
7,247.47454482133028,254.20815954995615,BEA
8,114.09377758692229,111.02273353471429,RUS
9,173.10401913700437,177.76928519143144,BEA
10,280.2791781198932,281.35545649982873,BEA
11,302.8546423790476,305.0143693919628,BEA
12,218.67502244811521,211.61013463089935,RUS
13,170.48393226279953,172.55110547209634,BEA
14,280.126271596595,280.8510743423457,BEA
15,315.07811753529853,312.995845415873,RUS
16,327.62371603330695,327.5460687512937,RUS
17,335.95199125621934,333.7099477084617,RUS
18,339.2319930788456,337.21831175026455,RUS
19,341.3469297964912,339.58665453140094,RUS
20,189.71638937347444,182.01946606955923,RUS
21,181.0436432986325,183.25147246993913,BEA
22,283.59513997025283,285.5919141653683,BEA
23,315.2456213926737,315.1401975366289,RUS
24,325.62593695499305,324.2088256740136,RUS
25,323.0,,RUS
