Minisector,SAI,RIC,Fastest
0,300.2039468350877,289.6467102877193,SAI
1,311.336896512207,296.6962724491228,SAI
2,158.28917474818005,162.5541105101574,RIC
3,216.3421433910006,218.45933329066665,RIC
4,280.1072324223113,270.80947319524984,SAI
5,307.7268904156863,292.4061401824561,SAI
6,320.18918408161437,300.7044817927171,SAI
7,187.7801285661777,182.7274660315134,SAI
8,114.22544553146636,121.58488716203753,RIC
9,255.00595144126987,249.42161162788753,SAI
10,301.80622779325654,282.9389410887218,SAI
11,319.98593753333336,293.5712964740741,SAI
12,152.39114147329013,142.65049061127135,SAI
13,188.3336598958922,190.36783777769656,RIC
14,256.13988058412696,255.82845798458052,SAI
15,207.26063270503408,195.92934404646505,SAI
16,221.29687426666666,219.35815942222223,SAI
17,218.6490843594759,210.84198691282052,SAI
18,242.4763586018767,245.31849157079367,RIC
19,276.49801554285716,276.9266666666667,RIC
20,288.61828705185184,293.13749995789476,RIC
21,268.0244950095238,268.5917865142857,RIC
22,234.51516612505173,223.64652782222223,SAI
23,206.30138563915648,202.82184540892408,SAI
24,263.82470185904765,264.62520821333334,RIC
25,280.1,,SAI
